"title_script","genre_script","filename","title_p","movieId","title","genres","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"10 Things I Hate About You","Comedy,Romance","10ThingsIHateAboutYou.txt","10 things i hate about you",2572,"10 Things I Hate About You (1999)","Comedy|Romance",-0.0164554388817016,0.01878922729275,-0.0132767427309495,-0.0133737428777491,0.000939453497506329,0.0605338798684077,-0.0331229623866712,-0.00228836490313988,-0.0363248798995591,0.0287282443083154,-0.0154946607598895,-0.0773144036987966,-0.0359597282902235,-0.0215584412707561,-0.032017154997134,0.00118827968777558,-0.00595655350057996,0.0181641519970876,-0.0251041382460872,0.0378779144210215,0.00839272488352191,0.010757502790859,-0.0206395593101842,0.0334301626665316,-0.00439129193273573,-0.0182915332585167,0.0429962084827577,-0.0361824705182861,0.00130930286188049,0.0381503289744988
"12 Years a Slave","Drama","12YearsaSlave.txt","12 years a slave",105844,"12 Years a Slave (2013)","Drama",0.00864452117349541,0.00314396472612065,0.00132197836033597,0.00418662885752993,0.00614561420688997,-0.00621772715939997,0.00512499077735448,-0.00538047341911484,-0.00219776529303149,-0.000124121120900575,0.00738117438493813,-0.00865486892462759,-0.00307672150565438,0.00316038789000779,-0.00414653895655025,-0.00397087382497912,0.00799162450269415,0.00217482843778271,0.00524362434241786,-0.00154575040567461,0.00188022254800327,0.00433597985194394,-0.00189701485159713,0.000831112667626638,0.00208452279669719,-0.000861496781957174,0.00528255021998112,-0.000506896361286923,-0.00230592690963323,0.00448992196781464
"127 Hours","Adventure,Drama,Thriller","127Hours.txt","127 hours",81562,"127 Hours (2010)","Adventure|Drama|Thriller",0.0120592198735372,-0.00123738299341833,-0.00513675051853589,0.0134739510278666,0.00641519806179579,-0.00453378922875389,0.00709723149801671,-0.0150341288937998,0.00581985551704303,-0.00630940844331103,0.0113782369677774,-0.00586973551947431,-0.013706631269007,0.0124167413664987,0.000913276204370367,0.00831315119059698,-0.00164839703083853,-0.0085040420246493,0.00108166124512443,0.00201338616657849,-0.00285857350705236,-0.0101398862355094,-0.0106104475515087,-0.00997465810027983,0.00342804565108198,-0.00627045628307635,0.00741271476837646,0.00170547847353108,-0.00786608220605652,0.00302691888950012
"1492: Conquest of Paradise","Adventure,Drama","1492ConquestofParadise.txt","1492: conquest of paradise",8905,"1492: Conquest of Paradise (1992)","Adventure|Drama",-0.00197427970673639,-0.00568847288170973,-0.00761937455361493,0.00226627626619844,-0.00300438931312519,-0.0047577937174633,-0.000953377390110144,0.00197854246494365,0.00136797906113966,-0.000636456195814508,0.00047460169141858,-0.000569252541757092,0.000868745339533397,-0.00472052979047069,-0.00393012996854079,0.0018231350098769,0.000888750123826796,-0.005102606420087,0.00154379034929927,-0.00188277289620602,0.00109781504495604,0.00152503801788815,0.00372388652326371,-0.00107214281342798,-0.00151938004744128,0.000604325936113347,-0.000405434741832654,0.00159447587897967,-0.00446036474900807,0.00155257143458413
"15 Minutes","Action,Crime,Thriller","15Minutes.txt","15 minutes",4167,"15 Minutes (2001)","Thriller",-0.011998938469781,-0.00528270412848399,-0.0174767195611448,0.00744298617780116,-0.00593402873191468,0.00529660249929695,0.00578952724922947,-0.0015968289442041,0.00175663834243563,-0.00342831643030862,-0.00326136516787092,0.00306852503428706,-0.00920392134028318,-0.00311957783996431,0.00171512758566602,-0.00906773181605882,0.0041630872385429,0.00812296752384789,-0.00314631751267736,0.00172878106022572,0.00378117736549893,-0.00209050286433685,-0.00408044537433081,-0.00635743132562697,0.00283113398593706,0.00233195245461525,-0.000371995512422771,-0.00521964980493391,-0.00607221099126481,-0.00662171381650024
"17 Again","Comedy,Drama,Romance","17Again.txt","17 again",68135,"17 Again (2009)","Comedy|Drama",-0.00962149387717658,0.00979644901234819,0.000849591685580697,-0.00434659197033335,0.00777870773095351,0.00980937066303753,0.00505834347824675,-0.0105231871660302,-0.00677658453190829,0.0034301775931026,-0.00479903639485775,-0.00109583876118701,0.00129277846777958,-0.00669206225866519,-0.0102773692513115,0.00488985197306988,-0.00729342188988715,-0.00351945614660072,-0.00344385840588325,0.0034811304079218,0.0037947702333145,-0.00788128564493775,0.00430459054334759,-0.00496716658087411,-0.000699024735835841,0.00482402655319299,0.00245345820480265,-0.00131565363859822,-0.0045196750513106,-0.00364384265047889
"187","Drama","187.txt","187",1609,"187 (One Eight Seven) (1997)","Drama|Thriller",-0.00487900179296468,-0.00927953306378679,-0.0120549722114096,0.000224347714766906,-0.00411958840734168,0.000707149005469806,0.00663387698537156,-0.00502795983924022,0.00163390210874174,-0.00219824839859408,-0.0014110464306047,-0.00108412697415165,-0.00557087869502108,-0.00632289903287787,-0.00255416779519821,0.00044249029377176,0.00404572737166249,0.004467612972593,-0.00108238930181511,0.000922844627863694,0.00156836757497376,-0.000804201746644452,-0.00090158428240929,-0.0023598616590961,-0.00231800335164757,-0.00251636264198885,0.00175248845518495,-0.000602587753299578,-0.00316863765024574,0.00498843720781996
"2001: A Space Odyssey","Adventure,Sci-Fi","2001ASpaceOdyssey.txt","2001: a space odyssey",924,"2001: A Space Odyssey (1968)","Adventure|Drama|Sci-Fi",0.0406111933765493,-0.00975522627456425,0.00333960725782516,-0.0258850284521938,-0.0379868153276423,0.0122908494022536,0.0486467580196306,0.0405204521251757,0.0416545602760589,0.00435049192081546,0.0150217331681647,0.0366404987935232,0.0745555915989579,0.0377474791078836,0.000112822121499095,0.0142743074314043,-0.0784628874242179,0.0138006100396571,-0.0188793828763098,0.0563796521105386,0.0172882717089292,0.0456744985148695,-0.0474035157891357,-0.0645005139921886,-0.0427551484936787,-0.0152935938592156,0.0604331609145904,0.0121422385497331,0.0295765628920376,-0.0112307629778483
"2012","Action,Adventure,Drama,Sci-Fi,Thriller","2012.txt","2012",72378,"2012 (2009)","Action|Drama|Sci-Fi|Thriller",-0.0214956104902329,0.00229951592804688,0.0038940339370127,0.000778821634026861,0.0124642787319348,0.0146904163709857,0.0321522309217216,0.00252470143962753,0.000570484024457826,0.00532834378094148,9.05883121644867e-05,0.00701404453607886,0.00630672488588267,0.00793694913705001,-0.0049330303848182,0.00187689120758384,-0.00319006810300985,0.00715134459311509,0.00525697626835312,-0.0100714599808992,-0.00395963312640991,-0.00532681995308112,-0.00268790164441166,0.00629752643982308,0.000708246162204596,-0.00223501837518699,-0.00151566769506338,-0.000665213150084724,-0.000441907494730976,0.00724819893837232
"25th Hour","Crime,Drama","25thHour.txt","25th hour",5954,"25th Hour (2002)","Crime|Drama",0.0203003401076883,-0.00802826792868271,-0.0209646895687741,0.00711295433329052,-0.010564888909304,0.0168716951508439,0.00989656843476945,-0.00715855752113123,-0.0156171892252455,-0.00348353257657364,0.01312132826813,-0.0258810633994396,-0.0018326478151942,-0.00397957575100042,-0.00308781268490302,-0.012610535934101,-0.00720111713367778,0.00973840197580641,-0.00427412753423979,0.00984327057873134,0.00636041067361955,0.00883188762977009,-0.00712234839579167,-0.0249251925733421,0.02238026569102,0.00070190393100835,0.00459195277647042,-0.00291869254450748,0.00131457591407421,-0.017209171032733
